Pathway,Superclass,Class,Popolazione
Fatty acids,Glycerolipids,Triacylglycerols,6889
Fatty acids,Glycerophospholipids,Glycerophosphocholines,1724
Shikimates and Phenylpropanoids,Flavonoids,Chalcones,1362
Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines,1336
Amino acids and Peptides,Oligopeptides,Cyclic peptides,1224
Fatty acids,Glycerophospholipids,Glycerophosphoserines,1219
Fatty acids,Glycerophospholipids,Glycerophosphoglycerols,1209
Fatty acids,Glycerophospholipids,Glycerophosphates,1198
Fatty acids,Glycerophospholipids,Glycerophosphoinositols,1188
Shikimates and Phenylpropanoids,Flavonoids,Flavones,1135
Shikimates and Phenylpropanoids,Flavonoids,Flavonols,1090
Fatty acids,Fatty esters,Wax monoesters,905
Alkaloids,Tyrosine alkaloids,Isoquinoline alkaloids,799
Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,795
Fatty acids,Fatty Acids and Conjugates,Unsaturated fatty acids,794
Alkaloids,Tryptophan alkaloids,Carboline alkaloids,724
Polyketides,Oligopeptides,Depsipeptides,670
Amino acids and Peptides,Oligopeptides,Depsipeptides,670
Terpenoids,Triterpenoids,Lupane triterpenoids,669
Fatty acids,Glycerophospholipids,Glycerophosphoglycerophosphoglycerols,666
Fatty acids,Fatty acyls,Hydrocarbons,648
Polyketides,Polycyclic aromatic polyketides,Anthraquinones and anthrones,606
Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,599
Polyketides,Macrolides,Ansa macrolides,597
Terpenoids,Steroids,Ergostane steroids,595
Polyketides,Oligopeptides,Cyclic peptides,591
Fatty acids,Glycerolipids,Diacylglycerols,570
Terpenoids,Sesquiterpenoids,Germacrane sesquiterpenoids,562
Shikimates and Phenylpropanoids,Flavonoids,Anthocyanidins,552
Terpenoids,Steroids,Cholestane steroids,550
Shikimates and Phenylpropanoids,Coumarins,Isocoumarins,535
Polyketides,Macrolides,Erythromycins,513
Shikimates and Phenylpropanoids,Flavonoids,Flavanones,505
Terpenoids,Diterpenoids,Cembrane diterpenoids,493
Amino acids and Peptides,Small peptides,Dipeptides,479
Terpenoids,Steroids,Vitamin D3 and derivatives,456
Terpenoids,Triterpenoids,Limonoids,436
Polyketides,Linear polyketides,Open-chain polyketides,413
Alkaloids,Ornithine alkaloids,Polyamines,411
Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,406
Amino acids and Peptides,Small peptides,Aminoacids,405
Terpenoids,Sesquiterpenoids,Guaiane sesquiterpenoids,404
Terpenoids,Monoterpenoids,Iridoids monoterpenoids,396
Terpenoids,Pseudoalkaloids (transamidation),Steroidal alkaloids,390
Alkaloids,Pseudoalkaloids (transamidation),Steroidal alkaloids,390
Terpenoids,Triterpenoids,Cycloartane triterpenoids,386
Polyketides,Naphthalenes,Naphthoquinones,386
Fatty acids,Fatty Acids and Conjugates,Branched fatty acids,386
Terpenoids,Sesquiterpenoids,Agarofuran sesquiterpenoids,385
Terpenoids,Triterpenoids,"Lanostane, Tirucallane and Euphane triterpenoids",384
Terpenoids,Diterpenoids,Tetracyclic diterpenoids,378
Terpenoids,Triterpenoids,Oleanane triterpenoids,373
Fatty acids,Fatty acyls,Fatty alcohols,361
Alkaloids,Tyrosine alkaloids,Morphinan alkaloids,357
Terpenoids,Sesquiterpenoids,Eudesmane sesquiterpenoids,343
Terpenoids,Sesquiterpenoids,Eremophilane sesquiterpenoids,335
Terpenoids,Sesquiterpenoids,Cadinane sesquiterpenoids,327
Fatty acids,Spingolipids,Phosphosphingolipids,326
Alkaloids,Pseudoalkaloids (transamidation),Terpenoid alkaloids,324
Terpenoids,Pseudoalkaloids (transamidation),Terpenoid alkaloids,324
Polyketides,Linear polyketides,Acetogenins,313
Terpenoids,Steroids,Pregnane steroids,307
Polyketides,Meroterpenoids,Polyprenylated cyclic polyketides (Hop meroterpenoids),302
Terpenoids,Meroterpenoids,Polyprenylated cyclic polyketides (Hop meroterpenoids),302
Terpenoids,Monoterpenoids,Menthane monoterpenoids,296
Fatty acids,Fatty Acids and Conjugates,Hydroxy fatty acids,291
Fatty acids,Fatty acyls,Oxygenated hydrocarbons,289
Alkaloids,Anthranilic acid alkaloids,Acridone alkaloids,281
Polyketides,Cyclic polyketides,2-pyrone derivatives,280
Amino acids and Peptides,Oligopeptides,Lipopeptides,278
Amino acids and Peptides,Oligopeptides,Vancomycins and Teicoplanins,277
Terpenoids,Sesquiterpenoids,Bisabolane sesquiterpenoids,275
Polyketides,Chromanes,Azaphilones,267
Terpenoids,Diterpenoids,Labdane diterpenoids,265
Fatty acids,Fatty esters,Fatty acyl CoAs,265
Shikimates and Phenylpropanoids,Coumarins,Furocoumarins,261
Terpenoids,Monoterpenoids,Acyclic monoterpenoids,256
Fatty acids,Fatty amides,N-acyl amines,254
Terpenoids,Monoterpenoids,Monocyclic monoterpenoids,250
Fatty acids,Glycerophospholipids,Oxidized glycerophospholipids,245
Terpenoids,Meroterpenoids,Prenyl quinone meroterpenoids,241
Alkaloids,Lysine alkaloids,Piperidine alkaloids,240
Polyketides,Polycyclic aromatic polyketides,Angucyclines,239
Amino acids and Peptides,Oligopeptides,Linear peptides,239
Fatty acids,Octadecanoids,Other Octadecanoids,238
Alkaloids,Tyrosine alkaloids,Amarylidaceae alkaloids,237
Terpenoids,Carotenoids (C40),"Carotenoids (C40, β-β)",236
Polyketides,Aromatic polyketides,Catechols with side chains,235
Alkaloids,Tryptophan alkaloids,Aspidosperma type,234
Shikimates and Phenylpropanoids,Isoflavonoids,Isoflavones,233
Alkaloids,Ornithine alkaloids,Tropane alkaloids,232
Terpenoids,Triterpenoids,Hopane and Moretane triterpenoids,227
Shikimates and Phenylpropanoids,Lignans,Neolignans,226
Shikimates and Phenylpropanoids,Stilbenoids,Oligomeric stibenes,225
Polyketides,Chromanes,Chromones,219
Alkaloids,Tyrosine alkaloids,Aporphine alkaloids,218
Alkaloids,Histidine alkaloids,Imidazole alkaloids,216
Terpenoids,Diterpenoids,Kaurane and Phyllocladane diterpenoids,215
Alkaloids,Pseudoalkaloids (transamidation),Purine alkaloids,215
Terpenoids,Diterpenoids,Briarane diterpenoids,211
Terpenoids,Diterpenoids,Norkaurane diterpenoids,208
Alkaloids,Ornithine alkaloids,Pyrrolizidine alkaloids,207
Terpenoids,Triterpenoids,Dammarane and Protostane triterpenoids,207
Terpenoids,Steroids,Furostane steroids,203
Fatty acids,Fatty acyls,Fatty aldehydes,201
Alkaloids,Lysine alkaloids,Quinolizidine alkaloids,201
Shikimates and Phenylpropanoids,Coumarins,Pyranocoumarins,200
Fatty acids,Spingolipids,Ceramides,200
Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Gallotannins,199
Terpenoids,Triterpenoids,Cucurbitane triterpenoids,198
Terpenoids,Monoterpenoids,Secoiridoid monoterpenoids,194
Polyketides,Aromatic polyketides,Depsides and depsidones,194
Terpenoids,Meroterpenoids,Tetraketide meroterpenoids,184
Polyketides,Meroterpenoids,Tetraketide meroterpenoids,184
